u, t, f(u), f(t)
29/88, 59/30, 35565/85184, 104324/3375
29/89, 60/31, 301289/704969, 864991/29791
29/90, 61/32, 39824/91125, 112005/4096
29/91, 62/33, 336435/753571, 927745/35937
29/92, 63/34, 44353/97336, 120014/4913
29/93, 64/35, 373765/804357, 993147/42875
29/94, 65/36, 49158/103823, 128357/5832
29/95, 66/37, 413327/857375, 1061245/50653
29/96, 67/38, 54245/110592, 137040/6859
29/97, 68/39, 455169/912673, 1132087/59319
29/98, 69/40, 59620/117649, 146069/8000
29/99, 70/41, 499339/970299, 1205721/68921
29/100, 71/42, 65289/125000, 155450/9261
29/101, 72/43, 545885/1030301, 1282195/79507
29/102, 73/44, 71258/132651, 165189/10648
29/103, 74/45, 594855/1092727, 1361557/91125
29/104, 75/46, 77533/140608, 175292/12167
29/105, 76/47, 646297/1157625, 1443855/103823
29/106, 77/48, 84120/148877, 185765/13824
29/107, 78/49, 700259/1225043, 1529137/117649
29/108, 79/50, 91025/157464, 196614/15625
29/109, 80/51, 756789/1295029, 1617451/132651
29/110, 81/52, 98254/166375, 207845/17576
29/111, 82/53, 815935/1367631, 1708845/148877
29/112, 83/54, 105813/175616, 219464/19683
29/113, 84/55, 877745/1442897, 1803367/166375
29/114, 85/56, 113708/185193, 231477/21952
29/115, 86/57, 942267/1520875, 1901065/185193
29/117, 88/59, 1009549/1601613, 2001987/205379
29/118, 89/60, 130530/205379, 256709/27000
29/119, 90/61, 1079639/1685159, 2106181/226981
29/120, 91/62, 139469/216000, 269940/29791
29/121, 92/63, 1152585/1771561, 2213695/250047
29/122, 93/64, 148768/226981, 283589/32768
29/123, 94/65, 1228435/1860867, 2324577/274625
29/124, 95/66, 158433/238328, 297662/35937
29/125, 96/67, 1307237/1953125, 2438875/300763
29/126, 97/68, 168470/250047, 312165/39304
29/127, 98/69, 1389039/2048383, 2556637/328509
29/128, 99/70, 178885/262144, 327104/42875
29/129, 100/71, 1473889/2146689, 2677911/357911
29/130, 101/72, 189684/274625, 342485/46656
29/131, 102/73, 1561835/2248091, 2802745/389017
29/132, 103/74, 200873/287496, 358314/50653
29/133, 104/75, 1652925/2352637, 2931187/421875
29/134, 105/76, 212458/300763, 374597/54872
29/135, 106/77, 1747207/2460375, 3063285/456533
29/136, 107/78, 224445/314432, 391340/59319
29/137, 108/79, 1844729/2571353, 3199087/493039
29/138, 109/80, 236840/328509, 408549/64000
29/139, 110/81, 1945539/2685619, 3338641/531441
29/140, 111/82, 249649/343000, 426230/68921
29/141, 112/83, 2049685/2803221, 3481995/571787
29/142, 113/84, 262878/357911, 444389/74088
29/143, 114/85, 2157215/2924207, 3629197/614125
29/144, 115/86, 276533/373248, 463032/79507
29/146, 117/88, 290620/389017, 482165/85184
29/147, 118/89, 2382619/3176523, 3935337/704969
29/148, 119/90, 305145/405224, 501794/91125
29/149, 120/91, 2500589/3307949, 4094371/753571
29/150, 121/92, 320114/421875, 521925/97336
29/151, 122/93, 2622135/3442951, 4257445/804357
29/152, 111/128, 335533/438976, 52687/262144
29/152, 123/94, 335533/438976, 542564/103823
29/153, 124/95, 2747305/3581577, 4424607/857375
29/154, 125/96, 351408/456533, 563717/110592
29/155, 126/97, 2876147/3723875, 4595905/912673
29/156, 127/98, 367745/474552, 585390/117649
29/157, 128/99, 3008709/3869893, 4771387/970299
29/158, 129/100, 384550/493039, 607589/125000
29/159, 130/101, 3145039/4019679, 4951101/1030301
29/160, 131/102, 401829/512000, 630320/132651
29/161, 132/103, 3285185/4173281, 5135095/1092727
29/162, 133/104, 419588/531441, 653589/140608
29/163, 134/105, 3429195/4330747, 5323417/1157625
29/164, 135/106, 437833/551368, 677402/148877
29/165, 136/107, 3577117/4492125, 5516115/1225043
29/166, 137/108, 456570/571787, 701765/157464
29/167, 138/109, 3728999/4657463, 5713237/1295029
29/168, 139/110, 475805/592704, 726684/166375
29/169, 140/111, 3884889/4826809, 5914831/1367631
29/170, 141/112, 495544/614125, 752165/175616
29/171, 142/113, 4044835/5000211, 6120945/1442897
29/172, 143/114, 515793/636056, 778214/185193
29/173, 144/115, 4208885/5177717, 6331627/1520875
29/175, 146/117, 4377087/5359375, 6546925/1601613
29/176, 147/118, 557845/681472, 832040/205379
29/177, 148/119, 4549489/5545233, 6766887/1685159
29/178, 149/120, 579660/704969, 859829/216000
29/179, 150/121, 4726139/5735339, 6991561/1771561
29/180, 151/122, 602009/729000, 888210/226981
29/181, 152/123, 4907085/5929741, 7220995/1860867
29/182, 153/124, 624898/753571, 917189/238328
29/183, 154/125, 5092375/6128487, 7455237/1953125
29/184, 155/126, 648333/778688, 946772/250047
29/185, 156/127, 5282057/6331625, 7694335/2048383
29/186, 157/128, 672320/804357, 976965/262144
29/187, 158/129, 5476179/6539203, 7938337/2146689
29/188, 159/130, 696865/830584, 1007774/274625
29/189, 160/131, 5674789/6751269, 8187291/2248091
29/190, 161/132, 721974/857375, 1039205/287496
29/191, 162/133, 5877935/6967871, 8441245/2352637
29/192, 163/134, 747653/884736, 1071264/300763
29/193, 164/135, 6085665/7189057, 8700247/2460375
29/194, 165/136, 773908/912673, 1103957/314432
29/195, 166/137, 6298027/7414875, 8964345/2571353
29/196, 167/138, 800745/941192, 1137290/328509
29/197, 168/139, 6515069/7645373, 9233587/2685619
29/198, 169/140, 828170/970299, 1171269/343000
29/199, 170/141, 6736839/7880599, 9508021/2803221
30/11, 185/32, 138131/1331, 5240521/4096
30/31, 36/41, 22591/29791, 17081/68921
30/61, 31, 3781/226981, 230641
30/67, 37/7, 34363/300763, 328903/343
30/71, 41/11, 62711/357911, 404771/1331
30/73, 43/13, 79417/389017, 445957/2197
30/77, 47/17, 118133/456533, 535073/4913
30/79, 49/19, 140239/493039, 583099/6859
30/79, 70/79, 140239/493039, 140239/493039
30/79, 100/121, 140239/493039, 91561/1771561
30/83, 53/23, 190187/571787, 686327/12167
30/89, 59/29, 280169/704969, 859829/24389
30/91, 61/31, 314371/753571, 922831/29791
30/97, 67/37, 430273/912673, 1128013/50653
30/101, 71/41, 519101/1030301, 1278761/68921
30/103, 73/43, 567127/1092727, 1358467/79507
30/107, 77/47, 670643/1225043, 1526783/103823
30/109, 79/49, 726229/1295029, 1615489/117649
30/113, 83/53, 845297/1442897, 1802237/148877
30/119, 89/59, 1044359/1685159, 2106419/205379
30/121, 91/61, 1116361/1771561, 2214421/226981
30/127, 97/67, 1349983/2048383, 2558923/300763
30/131, 101/71, 1520891/2248091, 2806151/357911
30/133, 103/73, 1611037/2352637, 2935177/389017
30/137, 107/77, 1800953/2571353, 3204293/456533
30/139, 109/79, 1900819/2685619, 3344479/493039
30/143, 113/83, 2110607/2924207, 3636347/571787
30/149, 119/89, 2451149/3307949, 4103609/704969
30/151, 121/91, 2571751/3442951, 4267411/753571
30/157, 127/97, 2955493/3869893, 4783633/912673
30/161, 131/101, 3230081/4173281, 5148941/1030301
30/163, 133/103, 3373147/4330747, 5338087/1092727
30/167, 137/107, 3671063/4657463, 5729603/1225043
30/169, 139/109, 3826009/4826809, 5932069/1295029
30/173, 143/113, 4148117/5177717, 6350657/1442897
30/179, 149/119, 4662539/5735339, 7013399/1685159
30/181, 151/121, 4842541/5929741, 7243801/1771561
30/187, 157/127, 5408803/6539203, 7964143/2048383
30/191, 161/131, 5808671/6967871, 8469131/2248091
30/193, 163/133, 6015457/7189057, 8729197/2352637
30/197, 167/137, 6442973/7645373, 9264713/2571353
30/199, 169/139, 6663799/7880599, 9540259/2685619
30/199, 195/199, 6663799/7880599, 6663799/7880599
31/5, 163/152, 200013/125, 731235/438976
31/29, 71/87, 39765/24389, 13255/658503
31/34, 191/144, 2030/4913, 2087855/373248
31/58, 69/100, -1558/24389, -22591/125000
31/58, 113/144, -1558/24389, -22591/373248
31/63, 32, 4031/250047, 253953
31/64, 33/2, 1055/32768, 33760
31/65, 34/3, 13233/274625, 286715/27
31/66, 35/4, 2302/35937, 37983/8
31/67, 36/5, 23995/300763, 321533/125
31/68, 37/6, 3747/39304, 42466/27
31/69, 38/7, 36365/328509, 358455/343
31/70, 39/8, 5396/42875, 47215/64
31/71, 40/9, 50391/357911, 397529/729
31/72, 41/10, 7255/46656, 52236/125
31/73, 42/11, 66121/389017, 438803/1331
31/74, 43/12, 9330/50653, 57535/216
31/75, 44/13, 83603/421875, 482325/2197
31/76, 45/14, 11627/54872, 63118/343
31/77, 46/15, 102885/456533, 528143/3375
31/77, 134/133, 102885/456533, 2496285/2352637
31/77, 137/169, 102885/456533, 21945/4826809
31/78, 47/16, 14152/59319, 68991/512
31/79, 48/17, 124015/493039, 576305/4913
31/80, 49/18, 16911/64000, 75160/729
31/81, 50/19, 147041/531441, 626859/6859
31/82, 51/20, 19910/68921, 81631/1000
31/83, 52/21, 172011/571787, 679853/9261
31/84, 53/22, 23155/74088, 88410/1331
31/85, 54/23, 198973/614125, 735335/12167
31/86, 55/24, 26652/79507, 95503/1728
31/87, 56/25, 227975/658503, 793353/15625
31/88, 57/26, 30407/85184, 102916/2197
31/89, 58/27, 259065/704969, 853955/19683
31/90, 59/28, 34426/91125, 110655/2744
31/91, 60/29, 292291/753571, 917189/24389
31/92, 61/30, 38715/97336, 118726/3375
31/94, 63/32, 43280/103823, 127135/4096
31/95, 64/33, 365343/857375, 1051745/35937
31/96, 65/34, 48127/110592, 135888/4913
31/97, 66/35, 405265/912673, 1123163/42875
31/98, 67/36, 53262/117649, 144991/5832
31/99, 68/37, 447515/970299, 1197405/50653
31/100, 69/38, 58691/125000, 154450/6859
31/101, 70/39, 492141/1030301, 1274519/59319
31/102, 71/40, 64420/132651, 164271/8000
31/103, 72/41, 539191/1092727, 1354553/68921
31/104, 73/42, 70455/140608, 174460/9261
31/105, 74/43, 588713/1157625, 1437555/79507
31/106, 75/44, 76802/148877, 185023/10648
31/107, 76/45, 640755/1225043, 1523573/91125
31/108, 77/46, 83467/157464, 195966/12167
31/109, 78/47, 695365/1295029, 1612655/103823
31/110, 79/48, 90456/166375, 207295/13824
31/111, 80/49, 752591/1367631, 1704849/117649
31/112, 81/50, 97775/175616, 219016/15625
31/113, 82/51, 812481/1442897, 1800203/132651
31/114, 83/52, 105430/185193, 231135/17576
31/115, 84/53, 875083/1520875, 1898765/148877
31/116, 85/54, 113427/195112, 243658/19683
31/117, 86/55, 940445/1601613, 2000583/166375
31/118, 87/56, 121772/205379, 256591/21952
31/119, 88/57, 1008615/1685159, 2105705/185193
31/120, 89/58, 130471/216000, 269940/24389
31/121, 90/59, 1079641/1771561, 2214179/205379
31/122, 91/60, 139530/226981, 283711/27000
31/123, 92/61, 1153571/1860867, 2326053/226981
31/125, 94/63, 1230453/1953125, 2441375/250047
31/126, 95/64, 158752/250047, 312543/32768
31/126, 97/112, 158752/250047, 34481/175616
31/126, 145/126, 158752/250047, 649522/250047
31/127, 96/65, 1310335/2048383, 2560193/274625
31/128, 97/66, 168927/262144, 327616/35937
31/129, 98/67, 1393265/2146689, 2682555/300763
31/130, 99/68, 179486/274625, 343135/39304
31/131, 100/69, 1479291/2248091, 2808509/328509
31/132, 101/70, 190435/287496, 359106/42875
31/133, 102/71, 1568461/2352637, 2938103/357911
31/134, 103/72, 201780/300763, 375535/46656
31/135, 104/73, 1660823/2460375, 3071385/389017
31/136, 105/74, 213527/314432, 392428/50653
31/137, 106/75, 1756425/2571353, 3208403/421875
31/138, 107/76, 225682/328509, 409791/54872
31/139, 108/77, 1855315/2685619, 3349205/456533
31/140, 109/78, 238251/343000, 427630/59319
31/141, 110/79, 1957541/2803221, 3493839/493039
31/142, 111/80, 251240/357911, 445951/64000
31/143, 112/81, 2063151/2924207, 3642353/531441
31/144, 113/82, 264655/373248, 464760/68921
31/145, 114/83, 2172193/3048625, 3794795/571787
31/146, 115/84, 278502/389017, 484063/74088
31/147, 116/85, 2284715/3176523, 3951213/614125
31/148, 117/86, 292787/405224, 503866/79507
31/149, 118/87, 2400765/3307949, 4111655/658503
31/150, 119/88, 307516/421875, 524175/85184
31/151, 120/89, 2520391/3442951, 4276169/704969
31/152, 121/90, 322695/438976, 544996/91125
31/153, 122/91, 2643641/3581577, 4444803/753571
31/154, 123/92, 338330/456533, 566335/97336
31/156, 125/94, 354427/474552, 588198/103823
31/157, 126/95, 2901205/3869893, 4794623/857375
31/158, 127/96, 370992/493039, 610591/110592
31/159, 128/97, 3035615/4019679, 4975905/912673
31/160, 129/98, 388031/512000, 633520/117649
31/161, 130/99, 3173841/4173281, 5161499/970299
31/162, 131/100, 405550/531441, 656991/125000
31/163, 132/101, 3315931/4330747, 5351453/1030301
31/164, 133/102, 423555/551368, 681010/132651
31/165, 134/103, 3461933/4492125, 5545815/1092727
31/166, 135/104, 442052/571787, 705583/140608
31/167, 136/105, 3611895/4657463, 5744633/1157625
31/168, 137/106, 461047/592704, 730716/148877
31/169, 138/107, 3765865/4826809, 5947955/1225043
31/170, 139/108, 480546/614125, 756415/157464
31/171, 140/109, 3923891/5000211, 6155829/1295029
31/172, 141/110, 500555/636056, 782686/166375
31/173, 142/111, 4086021/5177717, 6368303/1367631
31/174, 143/112, 521080/658503, 809535/175616
31/175, 144/113, 4252303/5359375, 6585425/1442897
31/176, 145/114, 542127/681472, 836968/185193
31/177, 146/115, 4422785/5545233, 6807243/1520875
31/178, 147/116, 563702/704969, 864991/195112
31/179, 148/117, 4597515/5735339, 7033805/1601613
31/180, 149/118, 585811/729000, 893610/205379
31/181, 150/119, 4776541/5929741, 7265159/1685159
31/182, 151/120, 608460/753571, 922831/216000
31/183, 152/121, 4959911/6128487, 7501353/1771561
31/184, 153/122, 631655/778688, 952660/226981
31/185, 154/123, 5147673/6331625, 7742435/1860867
31/187, 156/125, 5339875/6539203, 7988453/1953125
31/188, 157/126, 679707/830584, 1014166/250047
31/189, 158/127, 5536565/6751269, 8239455/2048383
31/190, 159/128, 704576/857375, 1045855/262144
31/191, 160/129, 5737791/6967871, 8495489/2146689
31/192, 161/130, 730015/884736, 1078176/274625
31/193, 162/131, 5943601/7189057, 8756603/2248091
31/194, 163/132, 756030/912673, 1111135/287496
31/195, 164/133, 6154043/7414875, 9022845/2352637
31/196, 165/134, 782627/941192, 1144738/300763
31/197, 166/135, 6369165/7645373, 9294263/2460375
31/198, 167/136, 809812/970299, 1178991/314432
31/199, 168/137, 6589015/7880599, 9570905/2571353
32/5, 47/49, 221309/125, 82305/117649
32/5, 51/62, 221309/125, 1180/29791
32/9, 43/181, 189145/729, 3888445/5929741
32/9, 138/95, 189145/729, 7408511/857375
32/15, 157/98, 142639/3375, 1571940/117649
32/63, 39/56, -3905/250047, -3905/21952
32/63, 53/71, -3905/250047, -46585/357911
32/63, 101/125, -3905/250047, -5467/1953125
32/65, 33, 4289/274625, 278785
32/65, 129/128, 4289/274625, 278785/262144
32/67, 35/3, 14043/300763, 313627/27
32/69, 37/5, 25405/328509, 350589/125
32/71, 39/7, 38423/357911, 389719/343
32/73, 41/9, 53145/389017, 431065/729
32/73, 137/128, 53145/389017, 431065/262144
32/75, 43/11, 69619/421875, 474675/1331
32/77, 45/13, 87893/456533, 520597/2197
32/79, 47/15, 108015/493039, 568879/3375
32/81, 49/17, 130033/531441, 619569/4913
32/83, 51/19, 153995/571787, 672715/6859
32/85, 53/21, 179949/614125, 728365/9261
32/87, 55/23, 207943/658503, 786567/12167
32/89, 57/25, 238025/704969, 847369/15625
32/89, 153/128, 238025/704969, 847369/262144
32/91, 59/27, 270243/753571, 910819/19683
32/93, 61/29, 304645/804357, 976965/24389
32/95, 63/31, 341279/857375, 1045855/29791
32/97, 65/33, 380193/912673, 1117537/35937
32/99, 67/35, 421435/970299, 1192059/42875
32/101, 69/37, 465053/1030301, 1269469/50653
32/103, 71/39, 511095/1092727, 1349815/59319
32/105, 73/41, 559609/1157625, 1433145/68921
32/107, 75/43, 610643/1225043, 1519507/79507
32/109, 77/45, 664245/1295029, 1608949/91125
32/111, 79/47, 720463/1367631, 1701519/103823
32/113, 81/49, 779345/1442897, 1797265/117649
32/113, 177/128, 779345/1442897, 1797265/262144
32/115, 83/51, 840939/1520875, 1896235/132651
32/117, 85/53, 905293/1601613, 1998477/148877
32/119, 87/55, 972455/1685159, 2104039/166375
32/121, 89/57, 1042473/1771561, 2212969/185193
32/123, 91/59, 1115395/1860867, 2325315/205379
32/125, 93/61, 1191269/1953125, 2441125/226981
32/127, 95/63, 1270143/2048383, 2560447/250047
32/129, 97/65, 1352065/2146689, 2683329/274625
32/131, 99/67, 1437083/2248091, 2809819/300763
32/133, 101/69, 1525245/2352637, 2939965/328509
32/135, 103/71, 1616599/2460375, 3073815/357911
32/137, 105/73, 1711193/2571353, 3211417/389017
32/139, 107/75, 1809075/2685619, 3352819/421875
32/141, 109/77, 1910293/2803221, 3498069/456533
32/143, 111/79, 2014895/2924207, 3647215/493039
32/145, 113/81, 2122929/3048625, 3800305/531441
32/147, 115/83, 2234443/3176523, 3957387/571787
32/149, 117/85, 2349485/3307949, 4118509/614125
32/151, 119/87, 2468103/3442951, 4283719/658503
32/153, 121/89, 2590345/3581577, 4453065/704969
32/155, 123/91, 2716259/3723875, 4626595/753571
32/157, 125/93, 2845893/3869893, 4804357/804357
32/159, 127/95, 2979295/4019679, 4986399/857375
32/161, 129/97, 3116513/4173281, 5172769/912673
32/163, 131/99, 3257595/4330747, 5363515/970299
32/165, 133/101, 3402589/4492125, 5558685/1030301
32/167, 135/103, 3551543/4657463, 5758327/1092727
32/169, 137/105, 3704505/4826809, 5962489/1157625
32/171, 139/107, 3861523/5000211, 6171219/1225043
32/173, 141/109, 4022645/5177717, 6384565/1295029
32/175, 143/111, 4187919/5359375, 6602575/1367631
32/177, 145/113, 4357393/5545233, 6825297/1442897
32/179, 147/115, 4531115/5735339, 7052779/1520875
32/181, 149/117, 4709133/5929741, 7285069/1601613
32/183, 151/119, 4891495/6128487, 7522215/1685159
32/185, 153/121, 5078249/6331625, 7764265/1771561
32/187, 155/123, 5269443/6539203, 8011267/1860867
32/189, 157/125, 5465125/6751269, 8263269/1953125
32/191, 159/127, 5665343/6967871, 8520319/2048383
32/193, 161/129, 5870145/7189057, 8782465/2146689
32/195, 163/131, 6079579/7414875, 9049755/2248091
32/197, 165/133, 6293693/7645373, 9322237/2352637
32/199, 167/135, 6512535/7880599, 9599959/2460375
33, 129/128, 278785, 278785/262144
33/10, 57/128, 25172/125, 31465/262144
33/10, 71/14, 25172/125, 287680/343
33/25, 57/32, 85321/15625, 85321/4096
33/32, 73/85, 5185/4096, 102541/614125
33/67, 34, 4555/300763, 305185
33/68, 35/2, 1189/39304, 40426
33/70, 37/4, 2582/42875, 45185/8
33/71, 38/5, 26855/357911, 381341/125
33/73, 40/7, 40537/389017, 422743/343
33/74, 41/8, 6004/50653, 55537/64
33/76, 43/10, 8045/54872, 61142/125
33/79, 46/13, 92287/493039, 560821/2197
33/80, 47/14, 12817/64000, 73240/343
33/82, 49/16, 15560/68921, 79745/512
33/83, 50/17, 136187/571787, 664913/4913
33/85, 52/19, 161101/614125, 720715/6859
33/86, 53/20, 21790/79507, 93697/1000
33/89, 56/23, 217097/704969, 840071/12167
33/91, 58/25, 248275/753571, 903721/15625
33/92, 59/26, 33085/97336, 117070/2197
33/94, 61/28, 37394/103823, 125537/2744
33/95, 62/29, 317231/857375, 1039205/24389
33/97, 64/31, 355105/912673, 1111135/29791
33/97, 88/97, 355105/912673, 355105/912673
33/97, 121/145, 355105/912673, 237553/3048625
33/98, 65/32, 46864/117649, 143521/4096
33/100, 67/34, 52037/125000, 153050/4913
33/101, 68/35, 437885/1030301, 1263611/42875
33/103, 70/37, 482887/1092727, 1344253/50653
33/104, 71/38, 63289/140608, 173212/6859
33/106, 73/40, 69380/148877, 183857/8000
33/107, 74/41, 580355/1225043, 1514585/68921
33/109, 76/43, 632917/1295029, 1604371/79507
33/112, 79/46, 89585/175616, 218120/12167
33/113, 80/47, 745937/1442897, 1793423/103823
33/115, 82/49, 806491/1520875, 1892785/117649
33/116, 83/50, 104725/195112, 242962/15625
33/118, 85/52, 112814/205379, 256001/17576
33/119, 86/53, 935927/1685159, 2101421/148877
33/122, 89/56, 130060/226981, 283345/21952
33/124, 91/58, 139229/238328, 297662/24389
33/125, 92/59, 1151621/1953125, 2439875/205379
33/127, 94/61, 1229455/2048383, 2559685/226981
33/128, 95/62, 158689/262144, 327616/29791
33/130, 97/64, 168992/274625, 343265/32768
33/131, 98/65, 1394315/2248091, 2810081/274625
33/133, 100/67, 1481437/2352637, 2940763/300763
33/134, 101/68, 190774/300763, 375937/39304
33/136, 103/70, 202265/314432, 392972/42875
33/137, 104/71, 1665305/2571353, 3213335/357911
33/139, 106/73, 1762147/2685619, 3355321/389017
33/140, 107/74, 226477/343000, 428470/50653
33/142, 109/76, 239210/357911, 446945/54872
33/145, 112/79, 2072881/3048625, 3804655/493039
33/146, 113/80, 265960/389017, 485377/64000
33/148, 115/82, 279989/405224, 505346/68921
33/149, 116/83, 2297357/3307949, 4124171/571787
33/151, 118/85, 2414935/3442951, 4290061/614125
33/152, 119/86, 309385/438976, 546820/79507
